id;name;description;estimated_time;spent_time
1;mint green e-business EXE;back-end;89609;35629
2;Direct;Profit-focused;42710;52
3;cutting-edge ability Hat;supply-chains magenta;11986;26941
4;User-centric Gloves;Mauritania;70301;40383
5;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;26678
6;Analyst paradigms;encompassing;90826;63435
7;Canadian Dollar;Berkshire Designer;24205;59269
8;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;53577;81643
9;optical;installation;18651;69581
10;HDD;Algerian Dinar;1658;71114
